presentation_rank,example_id,source_pair_id,similarity_category,similarity_score,cluster_id,actor_pair_type,brand_scope,hcc_scope,same_video,same_brand,community_mass_pair_is_lcn_edge,community_mass_interaction_scope,selection_pool,n_comments_in_group,n_unique_accounts,n_unique_videos,comment_1,comment_1_actor_type,comment_1_network_position,comment_1_brand,comment_2,comment_2_actor_type,comment_2_network_position,comment_2_brand,comment_3,comment_3_actor_type,comment_3_network_position,comment_3_brand,comment_4,reason_selected,methodological_caption,review_decision,reviewer_notes
17,PPT_SIM_017,SIM_PAIR_000263507,HIGH_SIMILARITY,0.9198493134644592,SIM_CLUSTER_00092,Mass–Mass,Daviena,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,4,baru order davina semoga cocok kaya testimoni2 disini 🙏,Mass Actor,LCN Non-HCC,Daviena,baru order originote semoga cocok kaya testimoni2 disini beneran,Mass Actor,LCN Non-HCC,The Originote,baru order daviena semoga cocok kaya testimoni2 disini beneran,Mass Actor,LCN Non-HCC,Daviena,baru order maryame semoga cocok kaya testimoni2 disini 🙏,high textual similarity; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
18,PPT_SIM_018,SIM_PAIR_000338642,MODERATE_SIMILARITY,0.8499791651503098,,Mass–Mass,Daviena | Maryame,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,2,2,2,ready taiwan kah????,Mass Actor,Outside LCN,Daviena,ada yg ready Taiwan kah,Mass Actor,Outside LCN,Maryame,,,,,,candidate similar comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
19,PPT_SIM_019,SIM_PAIR_000000011,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00106,Community–Community,The Originote,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,3,"worth it bgt beli originote niacinamide, harga segitu hasilnya lumayan puas",Community Actor,HCC,The Originote,"worth it bgt beli originote niacinamide, harga segitu hasilnya lumayan puas",Community Actor,HCC,The Originote,"worth it bgt beli originote niacinamide, harga segitu hasilnya lumayan puas",Community Actor,HCC,The Originote,"worth it bgt beli maryame niacinamide, harga segitu hasilnya lumayan puas",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
20,PPT_SIM_020,SIM_PAIR_000000018,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00157,Community–Community,Daviena | Maryame,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,3,"sama nih pengalamannya, worth to try emang",Community Actor,HCC,Daviena,"sama nih pengalamannya, worth to try emang",Community Actor,HCC,Daviena,"sama nih pengalamannya, worth to try emang",Community Actor,HCC,Maryame,"sama nih pengalamannya, worth to try emang",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
21,PPT_SIM_021,SIM_PAIR_000000027,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00317,Community–Community,The Originote,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,3,"akhirnya nemu originote niacinamide yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,The Originote,"akhirnya nemu originote niacinamide yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,The Originote,"akhirnya nemu maryame niacinamide yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,Maryame,"akhirnya nemu originote niacinamide yang cocok, gak bikin breakout sama sekali",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
22,PPT_SIM_022,SIM_PAIR_000000030,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00273,Community–Community,Maryame | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,4,"setuju kak, ini emang salah satu favorit aku juga",Community Actor,HCC,The Originote,"setuju kak, ini emang salah satu favorit aku juga",Community Actor,HCC,The Originote,"setuju kak, ini emang salah satu favorit aku juga",Community Actor,HCC,Maryame,"setuju kak, ini emang salah satu favorit aku juga",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
23,PPT_SIM_023,SIM_PAIR_000000035,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00128,Community–Community,Maryame,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,4,"review jujur originote niacinamide: enak dipakai, gampang nyerep, gak ada bau aneh",Community Actor,HCC,The Originote,"review jujur originote niacinamide: enak dipakai, gampang nyerep, gak ada bau aneh",Community Actor,HCC,The Originote,"review jujur maryame niacinamide: enak dipakai, gampang nyerep, gak ada bau aneh",Community Actor,HCC,Maryame,"review jujur maryame niacinamide: enak dipakai, gampang nyerep, gak ada bau aneh",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
24,PPT_SIM_024,SIM_PAIR_000000043,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00318,Community–Community,Azarine,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,2,"yg lagi nyari daviena retinol bagus, ini salah satu rekomendasi aku",Community Actor,HCC,Daviena,"yg lagi nyari daviena retinol bagus, ini salah satu rekomendasi aku",Community Actor,HCC,Daviena,"yg lagi nyari azarine retinol bagus, ini salah satu rekomendasi aku",Community Actor,HCC,Azarine,"yg lagi nyari azarine retinol bagus, ini salah satu rekomendasi aku",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
25,PPT_SIM_025,SIM_PAIR_000000044,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00140,Community–Community,Azarine | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,4,"betul sekali, cocok banget buat pemakaian harian",Community Actor,HCC,Daviena,"betul sekali, cocok banget buat pemakaian harian",Community Actor,HCC,The Originote,"betul sekali, cocok banget buat pemakaian harian",Community Actor,HCC,The Originote,"betul sekali, cocok banget buat pemakaian harian",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
26,PPT_SIM_026,SIM_PAIR_000000055,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00120,Community–Community,The Originote,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,4,ini originote niacinamide wangi bgt sih dan teksturnya enak dipakai tiap hari,Community Actor,HCC,The Originote,ini maryame niacinamide wangi bgt sih dan teksturnya enak dipakai tiap hari,Community Actor,HCC,Maryame,ini maryame niacinamide wangi bgt sih dan teksturnya enak dipakai tiap hari,Community Actor,HCC,Maryame,ini maryame niacinamide wangi bgt sih dan teksturnya enak dipakai tiap hari,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
27,PPT_SIM_027,SIM_PAIR_000000059,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00235,Community–Community,Daviena,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,3,"akhirnya nemu daviena retinol yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,Daviena,"akhirnya nemu daviena retinol yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,Daviena,"akhirnya nemu daviena retinol yang cocok, gak bikin breakout sama sekali",Community Actor,HCC,Daviena,"akhirnya nemu azarine retinol yang cocok, gak bikin breakout sama sekali",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
28,PPT_SIM_028,SIM_PAIR_000000707,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00158,Mass–Mass,The Originote,Cross-HCC / Non-HCC,False,True,False,,primary_substantive_text,4,4,4,tipe kulit ap ka,Mass Actor,Outside LCN,The Originote,tipe kulit apa kk?,Mass Actor,Outside LCN,Maryame,tipe kulit apa kak?,Mass Actor,Outside LCN,Maryame,tipe kulit nya apa kak,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
29,PPT_SIM_029,SIM_PAIR_000000710,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00324,Mass–Mass,Maryame | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,3,cantik banget teh,Mass Actor,Outside LCN,Maryame,cantik banget kak,Mass Actor,Outside LCN,Maryame,cantik banget kak,Mass Actor,Outside LCN,The Originote,cantik banget sii,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
30,PPT_SIM_030,SIM_PAIR_000002720,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00278,Mass–Mass,Azarine | Daviena,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,3,Bagus gk kak?,Mass Actor,Outside LCN,Maryame,Bagus ga kak?,Mass Actor,Outside LCN,Azarine,bagus ga kak?,Mass Actor,Outside LCN,Maryame,bagus kak?,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
