comment_id,comment_text_original,video_id,product_category,reference_label,predicted_label,selected_model_confidence,ambiguity_flags,neutral_error_taxonomy
7425134688081543942,blinya kak..,7421364555957275910,maryame_niacinamide,Neutral,Negative,0.5441025476162905,slang;very_short,short acknowledgement
7572615059345933076,ada yg mau gantiin paket maryame aku ga jual murah aja daripada nganggur bae mendjng di jual murah,7430007251076697350,maryame_niacinamide,Neutral,Negative,0.9111088286203624,low_margin;slang,slang
7428475697990304519,LS dokkkkk,7428436533981613318,maryame_niacinamide,Neutral,Negative,0.5136293447493511,very_short,short acknowledgement
7358272857816072965,retinol itu apa ka?maaf ga tau mknya nanya,7357662447248968966,daviena_retinol,Neutral,Negative,0.6185710848734804,question;slang,pertanyaan
7312025646363722502,Review judes apalagi? 💋💜👑,7312025661835578629,daviena_retinol,Neutral,Negative,0.4720716407177815,question,pertanyaan
7136552264877409050,"kurang tau ih, mending yg hydrating serum aja ka",7122773893844061466,originote_niacinamide,Neutral,Negative,0.5655046128164108,slang,slang
7429631175880622866,mgkin jg kk...,7429265515434036485,maryame_niacinamide,Neutral,Negative,0.4843171533090922,descriptive,label ambiguity
7329456753429496581,ini endorse kan?,7312025661835578629,daviena_retinol,Neutral,Negative,0.4809363527843783,question;slang,pertanyaan
7186264225122517786,seminggu 2 kali aja kalo aku,7185096421220158747,azarine_retinol,Neutral,Negative,0.6660725564819553,slang,slang
7217967587257336603,"buat wajah kusam , komedo pke yg ap kk",7194330759329631514,originote_niacinamide,Neutral,Negative,0.6266105208973545,slang,slang
7398752527174697771,"saya punya flek hitam kak,cara oder nya gimana kirim ke Hongkong",7385065641595653382,maryame_niacinamide,Neutral,Negative,0.623430557608055,question;slang,pertanyaan
7359220281518424850,Jum beli @maira,7357662447248968966,daviena_retinol,Neutral,Negative,0.609156078581887,question,harga/link/beli
7425849259604230917,exfoliasi itu pakek apa ?,7424146834534239493,maryame_niacinamide,Neutral,Negative,0.8540995415159085,question,pertanyaan
7421916425424601861,Semua titipan Allah.. ingat dri mana kita berasal.. jgn lupa apa yg di dapat hak kewajiban di keluarkan,7421104723333483782,davina_skincare,Neutral,Negative,0.6416269368469494,question;slang,pertanyaan
7423655942820250374,aslina ?,7421835937988070662,maryame_niacinamide,Neutral,Negative,0.4796768433323815,question;very_short,pertanyaan
7312052027029881606,lebih mantep lg di kombi sm apa ya?,7312025661835578629,daviena_retinol,Neutral,Negative,0.5715419580266966,question,pertanyaan
